0,1,2,3,4,5,6,7,8,9,10,11,12
uttar pradesh,2002,424.0,416.0,1.0,539.0,0.0,0.0,4.0,0.0,2.0,440.0,1826.0
uttarakhand,2002,7.0,8.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,27.0
west bengal,2002,4.0,16.0,0.0,94.0,0.0,0.0,14.0,1.0,0.0,46.0,175.0
a&n islands,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chandigarh,2002,3.0,6.0,0.0,22.0,1.0,8.0,0.0,0.0,0.0,9.0,49.0
d&n haveli,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daman & diu,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delhi,2002,29.0,138.0,20.0,426.0,0.0,29.0,0.0,0.0,0.0,55.0,697.0
lakshadweep,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puducherry,2002,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,17.0
andhra pradesh,2003,119.0,383.0,0.0,373.0,3.0,36.0,46.0,1.0,4.0,498.0,1463.0
arunachal pradesh,2003,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
assam,2003,2.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,19.0
bihar,2003,8.0,3.0,0.0,33.0,0.0,1.0,1.0,0.0,0.0,10.0,56.0
chhattisgarh,2003,29.0,186.0,6.0,45.0,4.0,3.0,0.0,0.0,6.0,335.0,614.0
goa,2003,0.0,22.0,0.0,9.0,0.0,5.0,5.0,0.0,0.0,16.0,57.0
gujarat,2003,49.0,75.0,4.0,267.0,0.0,82.0,2.0,0.0,11.0,175.0,665.0
haryana,2003,24.0,77.0,2.0,92.0,0.0,24.0,3.0,0.0,3.0,62.0,287.0
himachal pradesh,2003,5.0,36.0,0.0,23.0,0.0,11.0,4.0,1.0,1.0,28.0,109.0
jammu & kashmir,2003,0.0,2.0,0.0,38.0,0.0,2.0,0.0,0.0,0.0,7.0,49.0
jharkhand,2003,7.0,16.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,35.0
karnataka,2003,23.0,25.0,0.0,29.0,0.0,11.0,1.0,0.0,2.0,25.0,116.0
kerala,2003,31.0,69.0,0.0,23.0,0.0,1.0,7.0,0.0,0.0,48.0,179.0
madhya pradesh,2003,165.0,699.0,11.0,210.0,9.0,90.0,13.0,25.0,3.0,1437.0,2662.0
maharashtra,2003,206.0,605.0,5.0,337.0,5.0,293.0,20.0,3.0,16.0,506.0,2001.0
manipur,2003,1.0,7.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0
meghalaya,2003,14.0,24.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
mizoram,2003,5.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
nagaland,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odisha,2003,15.0,55.0,0.0,25.0,1.0,0.0,4.0,0.0,0.0,40.0,140.0
punjab,2003,25.0,54.0,11.0,67.0,0.0,9.0,0.0,0.0,2.0,16.0,184.0
rajasthan,2003,26.0,49.0,12.0,46.0,0.0,97.0,1.0,0.0,6.0,2.0,240.0
sikkim,2003,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0
tamil nadu,2003,60.0,47.0,0.0,37.0,0.0,7.0,0.0,0.0,3.0,23.0,177.0
tripura,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uttar pradesh,2003,458.0,301.0,3.0,561.0,2.0,0.0,28.0,0.0,4.0,345.0,1702.0
uttarakhand,2003,3.0,11.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,23.0
west bengal,2003,2.0,16.0,0.0,32.0,0.0,0.0,12.0,6.0,1.0,61.0,148.0
a&n islands,2003,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
chandigarh,2003,3.0,9.0,0.0,14.0,0.0,11.0,0.0,0.0,0.0,3.0,40.0
d&n haveli,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
daman & diu,2003,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
delhi,2003,32.0,140.0,2.0,255.0,0.0,39.0,0.0,0.0,1.0,47.0,516.0
lakshadweep,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
puducherry,2003,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
andhra pradesh,2004,71.0,363.0,0.0,396.0,2.0,26.0,60.0,0.0,4.0,406.0,1328.0
arunachal pradesh,2004,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0
assam,2004,1.0,7.0,0.0,3.0,0.0,0.0,8.0,1.0,1.0,0.0,21.0
bihar,2004,9.0,3.0,1.0,29.0,0.0,1.0,7.0,1.0,3.0,5.0,59.0
chhattisgarh,2004,44.0,308.0,6.0,70.0,6.0,14.0,1.0,0.0,14.0,477.0,940.0
goa,2004,2.0,20.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,20.0,53.0
gujarat,2004,74.0,96.0,0.0,300.0,1.0,95.0,5.0,0.0,30.0,198.0,799.0
haryana,2004,23.0,24.0,15.0,42.0,1.0,15.0,0.0,0.0,2.0,42.0,164.0
himachal pradesh,2004,5.0,32.0,2.0,26.0,0.0,13.0,0.0,0.0,2.0,12.0,92.0
jammu & kashmir,2004,1.0,4.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,2.0,35.0
jharkhand,2004,6.0,43.0,1.0,18.0,0.0,0.0,5.0,0.0,0.0,39.0,112.0
karnataka,2004,54.0,42.0,4.0,41.0,1.0,17.0,4.0,0.0,1.0,25.0,189.0
kerala,2004,51.0,159.0,0.0,54.0,0.0,0.0,20.0,0.0,1.0,56.0,341.0
madhya pradesh,2004,144.0,710.0,9.0,179.0,5.0,115.0,2.0,0.0,2.0,2487.0,3653.0
maharashtra,2004,187.0,634.0,15.0,380.0,8.0,249.0,14.0,3.0,14.0,766.0,2281.0
manipur,2004,0.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
meghalaya,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mizoram,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nagaland,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
odisha,2004,9.0,31.0,0.0,11.0,0.0,0.0,3.0,0.0,1.0,74.0,129.0
punjab,2004,42.0,54.0,8.0,53.0,1.0,12.0,0.0,1.0,2.0,20.0,193.0
rajasthan,2004,21.0,137.0,17.0,128.0,0.0,90.0,1.0,1.0,2.0,5.0,403.0
sikkim,2004,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0
tamil nadu,2004,71.0,166.0,0.0,93.0,3.0,20.0,6.0,0.0,5.0,29.0,393.0
tripura,2004,5.0,28.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,59.0
uttar pradesh,2004,528.0,394.0,2.0,735.0,4.0,0.0,23.0,0.0,1.0,234.0,1921.0
uttarakhand,2004,4.0,17.0,0.0,2.0,0.0,1.0,32.0,0.0,0.0,0.0,56.0
west bengal,2004,2.0,19.0,0.0,99.0,1.0,0.0,13.0,12.0,8.0,43.0,206.0
a&n islands,2004,1.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
chandigarh,2004,3.0,13.0,0.0,36.0,0.0,11.0,0.0,0.0,0.0,3.0,66.0
d&n haveli,2004,3.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
daman & diu,2004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
delhi,2004,41.0,186.0,4.0,371.0,0.0,33.0,0.0,0.0,0.0,131.0,766.0
lakshadweep,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puducherry,2004,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0
andhra pradesh,2005,57.0,315.0,1.0,332.0,4.0,99.0,48.0,2.0,9.0,74.0,950.0
arunachal pradesh,2005,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
assam,2005,13.0,90.0,1.0,18.0,5.0,0.0,0.0,2.0,0.0,70.0,199.0
bihar,2005,26.0,8.0,0.0,72.0,0.0,0.0,5.0,0.0,4.0,0.0,115.0
chhattisgarh,2005,37.0,382.0,21.0,110.0,8.0,6.0,0.0,0.0,3.0,430.0,997.0
goa,2005,4.0,15.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,21.0,53.0
gujarat,2005,76.0,90.0,4.0,285.0,1.0,141.0,12.0,0.0,25.0,202.0,836.0
haryana,2005,38.0,131.0,8.0,101.0,0.0,32.0,0.0,0.0,7.0,57.0,374.0
himachal pradesh,2005,6.0,58.0,1.0,37.0,0.0,12.0,0.0,0.0,3.0,14.0,131.0
jammu & kashmir,2005,4.0,4.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0
jharkhand,2005,33.0,22.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,27.0,97.0
karnataka,2005,47.0,48.0,7.0,35.0,1.0,18.0,7.0,0.0,3.0,25.0,191.0
kerala,2005,45.0,140.0,1.0,45.0,1.0,3.0,21.0,0.0,3.0,127.0,386.0
madhya pradesh,2005,150.0,870.0,12.0,240.0,7.0,95.0,4.0,0.0,18.0,2324.0,3721.0
maharashtra,2005,192.0,634.0,4.0,420.0,11.0,321.0,5.0,1.0,22.0,689.0,2305.0
manipur,2005,3.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
meghalaya,2005,9.0,51.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,6.0,81.0
mizoram,2005,24.0,37.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
nagaland,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odisha,2005,10.0,28.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,32.0,86.0
punjab,2005,26.0,51.0,12.0,59.0,0.0,13.0,2.0,0.0,11.0,36.0,210.0
rajasthan,2005,57.0,246.0,10.0,132.0,0.0,123.0,1.0,1.0,3.0,7.0,580.0
sikkim,2005,1.0,14.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,25.0
tamil nadu,2005,54.0,115.0,0.0,69.0,1.0,6.0,0.0,0.0,4.0,39.0,288.0
tripura,2005,1.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0
uttar pradesh,2005,390.0,394.0,0.0,749.0,2.0,0.0,3.0,0.0,4.0,259.0,1801.0
uttarakhand,2005,6.0,18.0,0.0,41.0,0.0,0.0,9.0,0.0,0.0,2.0,76.0
west bengal,2005,2.0,6.0,0.0,102.0,1.0,0.0,20.0,44.0,2.0,57.0,236.0
a&n islands,2005,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0
chandigarh,2005,3.0,21.0,0.0,23.0,0.0,7.0,0.0,0.0,0.0,3.0,57.0
d&n haveli,2005,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
daman & diu,2005,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
delhi,2005,34.0,235.0,3.0,507.0,0.0,47.0,0.0,0.0,0.0,191.0,1026.0
lakshadweep,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puducherry,2005,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0
andhra pradesh,2006,61.0,412.0,5.0,498.0,11.0,89.0,35.0,6.0,17.0,247.0,1386.0
arunachal pradesh,2006,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
assam,2006,11.0,61.0,1.0,25.0,5.0,0.0,0.0,1.0,1.0,147.0,252.0
bihar,2006,12.0,17.0,0.0,25.0,0.0,0.0,4.0,0.0,2.0,6.0,66.0
chhattisgarh,2006,48.0,448.0,5.0,113.0,1.0,14.0,0.0,0.0,5.0,604.0,1238.0
goa,2006,3.0,14.0,0.0,10.0,1.0,8.0,1.0,0.0,0.0,17.0,54.0
gujarat,2006,87.0,112.0,6.0,360.0,1.0,150.0,9.0,0.0,12.0,240.0,977.0
haryana,2006,29.0,176.0,9.0,158.0,0.0,24.0,0.0,0.0,7.0,59.0,462.0
himachal pradesh,2006,4.0,41.0,5.0,52.0,1.0,12.0,2.0,0.0,1.0,18.0,136.0
jammu & kashmir,2006,3.0,8.0,0.0,72.0,0.0,1.0,0.0,0.0,0.0,1.0,85.0
jharkhand,2006,10.0,28.0,1.0,11.0,0.0,0.0,26.0,0.0,0.0,36.0,112.0
karnataka,2006,63.0,84.0,13.0,62.0,0.0,31.0,2.0,0.0,6.0,15.0,276.0
kerala,2006,51.0,219.0,0.0,73.0,0.0,4.0,35.0,0.0,1.0,170.0,553.0
madhya pradesh,2006,160.0,829.0,14.0,237.0,12.0,105.0,6.0,0.0,4.0,2572.0,3939.0
maharashtra,2006,207.0,655.0,10.0,552.0,7.0,255.0,15.0,1.0,15.0,1101.0,2841.0
manipur,2006,6.0,15.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0
meghalaya,2006,6.0,47.0,0.0,13.0,0.0,0.0,3.0,0.0,2.0,0.0,71.0
mizoram,2006,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
nagaland,2006,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
odisha,2006,13.0,101.0,0.0,17.0,1.0,0.0,0.0,0.0,3.0,19.0,154.0
punjab,2006,24.0,58.0,22.0,169.0,0.0,15.0,0.0,1.0,9.0,31.0,329.0
rajasthan,2006,77.0,311.0,25.0,392.0,0.0,137.0,1.0,0.0,1.0,5.0,951.0
sikkim,2006,4.0,14.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,10.0,35.0
tamil nadu,2006,60.0,125.0,0.0,118.0,0.0,12.0,1.0,0.0,6.0,31.0,353.0
tripura,2006,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0
uttar pradesh,2006,426.0,347.0,2.0,734.0,3.0,0.0,0.0,0.0,0.0,255.0,1767.0
uttarakhand,2006,10.0,23.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,51.0
west bengal,2006,3.0,20.0,0.0,156.0,0.0,3.0,77.0,114.0,6.0,49.0,432.0
a&n islands,2006,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
chandigarh,2006,1.0,8.0,0.0,43.0,0.0,11.0,0.0,0.0,0.0,1.0,64.0
d&n haveli,2006,1.0,3.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0
daman & diu,2006,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
delhi,2006,62.0,448.0,7.0,1114.0,2.0,36.0,1.0,0.0,0.0,489.0,2160.0
lakshadweep,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puducherry,2006,1.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0
andhra pradesh,2007,76.0,363.0,0.0,609.0,6.0,35.0,37.0,11.0,21.0,341.0,1499.0
arunachal pradesh,2007,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
assam,2007,2.0,34.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,101.0,167.0
bihar,2007,88.0,110.0,0.0,421.0,0.0,0.0,36.0,1.0,8.0,11.0,675.0
chhattisgarh,2007,45.0,368.0,10.0,103.0,3.0,7.0,3.0,0.0,4.0,481.0,1024.0
goa,2007,3.0,15.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,39.0,70.0
gujarat,2007,83.0,98.0,1.0,436.0,0.0,149.0,25.0,0.0,14.0,304.0,1110.0
haryana,2007,20.0,122.0,4.0,107.0,1.0,12.0,0.0,0.0,4.0,55.0,325.0
himachal pradesh,2007,6.0,48.0,1.0,61.0,0.0,6.0,2.0,0.0,1.0,26.0,151.0
jammu & kashmir,2007,0.0,12.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,26.0
jharkhand,2007,3.0,23.0,0.0,7.0,0.0,0.0,25.0,0.0,4.0,12.0,74.0
karnataka,2007,53.0,84.0,7.0,62.0,0.0,25.0,8.0,0.0,4.0,23.0,266.0
kerala,2007,38.0,183.0,0.0,73.0,1.0,6.0,22.0,0.0,1.0,163.0,487.0
madhya pradesh,2007,160.0,1043.0,10.0,283.0,5.0,141.0,16.0,2.0,5.0,2625.0,4290.0
maharashtra,2007,213.0,615.0,1.0,590.0,8.0,297.0,13.0,0.0,7.0,932.0,2707.0
manipur,2007,3.0,4.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
meghalaya,2007,12.0,41.0,0.0,9.0,0.0,0.0,8.0,0.0,1.0,0.0,71.0
mizoram,2007,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0
nagaland,2007,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
odisha,2007,30.0,92.0,5.0,36.0,0.0,0.0,0.0,0.0,1.0,37.0,201.0
punjab,2007,29.0,135.0,35.0,296.0,0.0,9.0,0.0,0.0,5.0,18.0,527.0
rajasthan,2007,89.0,406.0,16.0,589.0,0.0,146.0,1.0,0.0,3.0,2.0,1252.0
sikkim,2007,1.0,17.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,4.0,31.0
tamil nadu,2007,54.0,141.0,0.0,197.0,0.0,28.0,2.0,0.0,2.0,17.0,441.0
tripura,2007,9.0,33.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,9.0,63.0
uttar pradesh,2007,397.0,471.0,1.0,1041.0,0.0,0.0,0.0,0.0,0.0,337.0,2248.0
uttarakhand,2007,14.0,17.0,0.0,46.0,0.0,0.0,1.0,0.0,0.0,23.0,101.0
west bengal,2007,15.0,92.0,1.0,88.0,0.0,1.0,54.0,55.0,9.0,40.0,361.0
a&n islands,2007,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
chandigarh,2007,1.0,8.0,0.0,30.0,1.0,12.0,0.0,0.0,0.0,1.0,53.0
d&n haveli,2007,1.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
daman & diu,2007,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
delhi,2007,48.0,361.0,4.0,1020.0,1.0,34.0,0.0,0.0,0.0,336.0,1806.0
lakshadweep,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puducherry,2007,2.0,3.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,5.0,23.0
andhra pradesh,2008,64.0,412.0,2.0,433.0,7.0,49.0,48.0,2.0,19.0,284.0,1321.0
arunachal pradesh,2008,0.0,11.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
assam,2008,1.0,27.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,147.0,183.0
bihar,2008,116.0,91.0,0.0,496.0,0.0,0.0,45.0,0.0,8.0,10.0,766.0
chhattisgarh,2008,52.0,411.0,9.0,96.0,3.0,3.0,3.0,1.0,5.0,584.0,1167.0
goa,2008,3.0,18.0,0.0,24.0,1.0,2.0,0.0,0.0,1.0,31.0,80.0
gujarat,2008,59.0,99.0,1.0,521.0,0.0,156.0,7.0,0.0,23.0,208.0,1074.0
haryana,2008,25.0,70.0,5.0,104.0,0.0,13.0,0.0,0.0,4.0,48.0,269.0
himachal pradesh,2008,8.0,68.0,2.0,78.0,2.0,5.0,2.0,0.0,2.0,38.0,205.0
jammu & kashmir,2008,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0
jharkhand,2008,4.0,8.0,0.0,18.0,0.0,1.0,18.0,0.0,0.0,21.0,71.0
karnataka,2008,84.0,97.0,5.0,99.0,1.0,31.0,4.0,0.0,9.0,58.0,388.0
kerala,2008,37.0,215.0,0.0,87.0,4.0,6.0,13.0,0.0,4.0,183.0,549.0
madhya pradesh,2008,107.0,892.0,8.0,264.0,6.0,99.0,15.0,4.0,2.0,2861.0,4259.0
maharashtra,2008,178.0,690.0,2.0,598.0,3.0,274.0,13.0,1.0,5.0,920.0,2709.0
manipur,2008,6.0,22.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
meghalaya,2008,0.0,34.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0
mizoram,2008,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0
